File_ID;Group_ID;Rating_1;Rating_2;Rating_3;Rating_4;Rating_5
img_1179.png;J;1;0;1;1;1
img_1180.png;J;1;1;1;1;2
img_1181.png;J;2;2;2;2;2
img_1182.png;J;0;0;0;0;0
img_1183.png;J;0;1;1;0;1
img_1184.png;J;0;0;0;0;0
img_1185.png;J;1;1;1;1;1
img_1186.png;J;2;2;2;2;2
img_1187.png;J;0;0;0;0;0
img_1188.png;J;0;0;0;0;0
img_1189.png;J;1;2;1;1;1
img_1190.png;J;2;2;2;2;2
img_1191.png;J;2;2;2;2;2
img_1192.png;J;2;0;2;2;2
img_1193.png;J;1;2;1;2;2
img_1194.png;J;1;2;2;2;2
img_1195.png;J;0;0;0;0;0
img_1196.png;J;2;2;2;2;2
img_1197.png;J;0;0;1;0;0
img_1198.png;J;2;2;2;2;2
img_1199.png;J;1;2;1;1;1
img_1200.png;J;0;0;0;0;0
img_1201.png;J;2;2;2;2;2
img_1202.png;J;1;1;1;1;1
img_1203.png;J;0;0;0;0;0
img_1204.png;J;1;1;1;2;1
img_1205.png;J;1;2;1;2;1
img_1206.png;J;1;2;2;2;2
img_1207.png;J;2;2;2;2;2
img_1208.png;J;0;0;0;0;0
img_1209.png;J;0;0;0;0;0
img_12J.png;J;0;1;1;1;0
img_1211.png;J;1;1;1;1;1
img_1212.png;J;1;2;1;1;2
img_1213.png;J;1;1;2;2;2
img_1214.png;J;2;2;2;1;2
img_1215.png;J;0;0;0;0;0
img_1216.png;J;0;0;0;0;0
img_1217.png;J;1;1;1;0;0
img_1218.png;J;0;0;0;0;0
img_1219.png;J;0;0;0;0;0
img_1220.png;J;0;0;0;0;0
img_1221.png;J;1;2;1;0;1
img_1222.png;J;2;2;2;1;2
img_1223.png;J;0;0;0;1;0
img_1224.png;J;0;0;0;0;0
img_1225.png;J;0;0;1;0;0
img_1226.png;J;2;2;2;1;2
img_1227.png;J;0;0;0;0;0
img_1228.png;J;0;1;1;1;1
img_1229.png;J;2;2;2;2;2
img_1230.png;J;2;2;2;2;2
img_1231.png;J;1;1;2;2;1
img_1232.png;J;2;2;2;2;2
img_1233.png;J;2;2;2;1;2
img_1234.png;J;0;0;0;0;0
img_1235.png;J;1;2;2;1;1
img_1236.png;J;0;0;1;0;0
img_1237.png;J;1;2;1;1;1
img_1238.png;J;0;0;0;0;0
img_1239.png;J;1;2;1;1;0
img_1240.png;J;1;1;1;1;1
img_1241.png;J;0;0;0;0;0
img_1242.png;J;1;1;1;1;1
img_1243.png;J;0;0;1;0;0
img_1244.png;J;0;0;0;0;0
img_1245.png;J;0;0;0;0;0
img_1246.png;J;1;2;1;0;2
img_1247.png;J;1;2;1;1;1
img_1248.png;J;1;0;1;1;1
img_1249.png;J;0;0;0;1;0
img_1250.png;J;0;0;0;2;0
img_1251.png;J;1;2;1;1;1
img_1252.png;J;1;2;1;0;1
img_1253.png;J;0;0;0;0;0
img_1254.png;J;2;2;2;2;2
img_1255.png;J;1;1;1;0;1
img_1256.png;J;1;1;1;1;1
img_1257.png;J;1;1;1;2;1
img_1258.png;J;0;0;0;0;0
img_1259.png;J;1;2;1;1;1
img_1260.png;J;2;2;2;1;1
img_1261.png;J;1;1;1;2;2
img_1262.png;J;0;0;0;0;0
img_1263.png;J;2;2;2;2;2
img_1264.png;J;2;2;2;2;2
img_1265.png;J;0;0;0;0;0
img_1266.png;J;2;2;2;1;1
img_1267.png;J;1;1;1;1;1
img_1268.png;J;0;0;0;0;0
img_1269.png;J;1;2;2;2;1
img_1270.png;J;0;0;0;0;0
img_1271.png;J;1;1;2;2;2
